latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.52539,-63.60931,303.34,0.39,0.59,2025-01-18,622,N,VIIRS,n,2.0NRT,291,0.95,N
8.52605,-63.61294,307.31,0.39,0.59,2025-01-18,622,N,VIIRS,n,2.0NRT,291.44,0.95,N
8.52696,-64.07222,328.8,0.36,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.49,1.74,N
8.5284,-64.07175,338.2,0.36,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.52,2.56,N
8.53961,-63.96223,302.91,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.3,0.34,N
8.55448,-64.13216,302.6,0.36,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,291.36,2.99,N
8.55509,-64.13547,367,0.36,0.57,2025-01-18,622,N,VIIRS,h,2.0NRT,294.47,7.78,N
8.56037,-64.13451,322.3,0.36,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,292.85,1.41,N
8.56126,-63.92956,307.92,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.04,0.37,N
8.56919,-66.8289,317.67,0.47,0.48,2025-01-18,622,N,VIIRS,n,2.0NRT,293.16,1.29,N
8.56993,-66.83321,305.45,0.47,0.48,2025-01-18,622,N,VIIRS,n,2.0NRT,292.67,1.75,N
8.57359,-66.82814,312.99,0.47,0.48,2025-01-18,622,N,VIIRS,n,2.0NRT,293.14,1.29,N
8.58529,-66.81908,306.02,0.47,0.48,2025-01-18,622,N,VIIRS,n,2.0NRT,292.92,0.97,N
8.61006,-66.93616,308.11,0.47,0.47,2025-01-18,622,N,VIIRS,n,2.0NRT,292.69,1.39,N
8.61385,-63.10729,307.75,0.42,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,291.33,0.66,N
8.66095,-64.68251,304.58,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,291.42,0.49,N
8.6829,-63.15277,304.43,0.42,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,291.31,1.09,N
8.68362,-63.15659,316.41,0.42,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,291.74,1.09,N
8.68617,-63.15259,340.99,0.42,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,291.89,3.73,N
8.68686,-63.15641,332.74,0.42,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,292.11,3.73,N
8.68851,-63.1517,306.46,0.42,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,291.34,2.12,N
8.6888,-63.23095,310.74,0.41,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,292.21,0.67,N
8.68923,-63.15551,341.31,0.42,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,292.9,2.12,N
8.69168,-63.22987,308.77,0.41,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,291.97,0.74,N
8.72504,-62.90757,332.27,0.43,0.62,2025-01-18,622,N,VIIRS,n,2.0NRT,291.8,3.82,N
8.72576,-62.91151,331.62,0.43,0.62,2025-01-18,622,N,VIIRS,n,2.0NRT,292.29,4.98,N
8.7269,-62.9086,367,0.43,0.62,2025-01-18,622,N,VIIRS,h,2.0NRT,292.51,6.02,N
8.72765,-62.91253,309.21,0.43,0.62,2025-01-18,622,N,VIIRS,n,2.0NRT,291.47,5.41,N
8.74467,-66.85514,304.27,0.47,0.48,2025-01-18,622,N,VIIRS,n,2.0NRT,292.15,0.85,N
8.74904,-66.85432,309.85,0.47,0.48,2025-01-18,622,N,VIIRS,n,2.0NRT,292.23,0.85,N
8.7957,-64.45383,302.54,0.34,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,291.4,0.46,N
8.80182,-64.36211,301.49,0.34,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,290.91,0.44,N
8.807,-64.3612,307.17,0.34,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,291.06,0.62,N
8.85793,-63.57319,303.71,0.39,0.59,2025-01-18,622,N,VIIRS,n,2.0NRT,291.38,1.1,N
8.85892,-63.57349,302.75,0.39,0.59,2025-01-18,622,N,VIIRS,n,2.0NRT,291.66,1.24,N
8.93273,-63.9265,302.3,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.16,0.78,N
8.93624,-63.92589,321.18,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.16,1.69,N
8.93803,-63.92543,311.17,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.84,0.78,N
9.01018,-66.95809,318.89,0.46,0.47,2025-01-18,622,N,VIIRS,n,2.0NRT,292.22,1.23,N
9.01709,-67.15118,309.53,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.39,0.78,N
9.11542,-67.19342,307.86,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,291.86,0.99,N
9.11967,-67.19267,336.74,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.6,3.75,N
9.12037,-67.19668,323.81,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.12,2.23,N
9.12462,-67.19593,310.32,0.44,0.46,2025-01-18,622,N,VIIRS,n,2.0NRT,292.09,2.23,N
9.15376,-64.46035,305.96,0.33,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,291.91,0.74,N
9.15432,-64.46342,312.18,0.33,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,292.24,0.74,N
9.15886,-64.45939,306.71,0.33,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,292.13,0.61,N
9.22065,-64.50919,310.92,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.5,0.96,N
9.22541,-64.0592,338.72,0.35,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,291.84,1.16,N
9.23066,-64.05827,306.7,0.35,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,291.42,1.16,N
9.23247,-64.30149,347.29,0.34,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,293.01,3.32,N
9.26482,-63.17023,317.5,0.41,0.6,2025-01-18,622,N,VIIRS,n,2.0NRT,291.44,1.54,N
9.26618,-69.46243,305.31,0.48,0.4,2025-01-18,622,N,VIIRS,n,2.0NRT,291.94,0.9,N
9.26851,-64.71721,303.31,0.32,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,291.5,0.27,N
9.33732,-70.13702,300.82,0.45,0.39,2025-01-18,622,N,VIIRS,n,2.0NRT,285.16,0.73,N
9.37034,-64.52204,344.08,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.92,3.73,N
9.37089,-64.52498,333.34,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,293.63,3.73,N
9.37541,-64.52108,328.13,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.4,2.09,N
9.37596,-64.52403,330.5,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,293.65,2.09,N
9.38489,-64.54401,333.84,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.76,4.25,N
9.38544,-64.547,367,0.33,0.55,2025-01-18,622,N,VIIRS,h,2.0NRT,295.15,4.25,N
9.38996,-64.5431,302.81,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.35,0.8,N
9.39051,-64.54608,322.85,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,293.3,0.8,N
9.4702,-64.39129,321.46,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,293.12,2.13,N
9.47415,-68.03313,304.53,0.39,0.44,2025-01-18,622,N,VIIRS,n,2.0NRT,291.06,0.45,N
9.47531,-64.39033,339.71,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,294.53,2.13,N
9.48836,-68.92883,305.57,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,292.13,0.84,N
9.51279,-70.97849,303.03,0.42,0.37,2025-01-18,622,N,VIIRS,n,2.0NRT,291.21,1.44,N
9.53328,-67.50761,306.19,0.41,0.45,2025-01-18,622,N,VIIRS,n,2.0NRT,292.79,0.82,N
9.55553,-67.42945,310.43,0.42,0.45,2025-01-18,622,N,VIIRS,n,2.0NRT,293.62,1.74,N
9.5582,-67.42847,305.58,0.42,0.45,2025-01-18,622,N,VIIRS,n,2.0NRT,293.24,1.07,N
9.5589,-67.43261,307.66,0.42,0.45,2025-01-18,622,N,VIIRS,n,2.0NRT,293.4,1.07,N
9.56049,-63.63018,352.7,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.68,4.88,N
9.56113,-63.63362,323.13,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.53,5.47,N
9.56585,-63.62916,325.6,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.16,1.31,N
9.57704,-67.43001,307.69,0.42,0.45,2025-01-18,622,N,VIIRS,n,2.0NRT,292.1,1.1,N
9.61617,-63.72187,304.21,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.41,22.64,N
9.61653,-63.6938,316.76,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.26,1.18,N
9.61679,-63.72528,351.27,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.15,22.64,N
9.61742,-63.72867,367,0.37,0.58,2025-01-18,622,N,VIIRS,h,2.0NRT,291.76,22.61,N
9.61804,-63.73206,302.28,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.47,22.61,N
9.61825,-68.87064,302.27,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,291.51,0.83,N
9.61902,-63.70739,303.82,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.27,1.73,N
9.61964,-63.71079,331.05,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.64,1.73,N
9.62019,-63.77361,331.29,0.36,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.26,1.64,N
9.6215,-63.72093,327.5,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292,22.64,N
9.62212,-63.7243,328.49,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,304.47,22.64,N
9.6225,-63.69629,308.83,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.65,1.03,N
9.62274,-63.7277,367,0.37,0.58,2025-01-18,622,N,VIIRS,h,2.0NRT,297.82,22.61,N
9.62336,-63.73108,304.9,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.23,22.61,N
9.6255,-63.77268,305.55,0.36,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.51,0.35,N
9.62757,-63.99042,310.94,0.35,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,291.36,0.87,N
9.62784,-63.69532,319.37,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.96,1.03,N
9.62845,-63.69871,301.92,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.6,2.15,N
9.63132,-63.68418,323.9,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.41,1.39,N
9.63153,-63.58454,328.39,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.46,2.03,N
9.6338,-63.68428,320.07,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,292.77,1.39,N
9.63525,-63.73592,367,0.37,0.58,2025-01-18,622,N,VIIRS,h,2.0NRT,293.74,4.76,N
9.63682,-63.72916,303.42,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.21,0.71,N
9.6381,-63.7359,367,0.37,0.58,2025-01-18,622,N,VIIRS,h,2.0NRT,293.65,5.12,N
9.63935,-63.72823,315.8,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,291.71,0.79,N
9.63951,-63.59742,337.59,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,293.06,3.39,N
